区域ID	区域名称	区域类型
2851	丹棱县	3
2852	青神县	3
2853	阆中市	3
2854	南部县	3
2855	营山县	3
2856	蓬安县	3
2857	仪陇县	3
2858	顺庆区	3
2859	高坪区	3
2860	嘉陵区	3
2861	西充县	3
2862	市中区	3
2863	东兴区	3
2864	威远县	3
2865	资中县	3
2866	隆昌县	3
2867	东  区	3
2868	西  区	3
2869	仁和区	3
2870	米易县	3
2871	盐边县	3
2872	船山区	3
2873	安居区	3
2874	蓬溪县	3
2875	射洪县	3
2876	大英县	3
2877	雨城区	3
2878	名山县	3
2879	荥经县	3
2880	汉源县	3
2881	石棉县	3
2882	天全县	3
2883	芦山县	3
2884	宝兴县	3
2885	翠屏区	3
2886	宜宾县	3
2887	南溪县	3
2888	江安县	3
2889	长宁县	3
2890	高县	3
2891	珙县	3
2892	筠连县	3
2893	兴文县	3
2894	屏山县	3
2895	雁江区	3
2896	简阳市	3
2897	安岳县	3
2898	乐至县	3
2899	大安区	3
2900	自流井区	3
2901	贡井区	3
2902	沿滩区	3
2903	荣县	3
2904	富顺县	3
2905	江阳区	3
2906	纳溪区	3
2907	龙马潭区	3
2908	泸县	3
2909	合江县	3
2910	叙永县	3
2911	古蔺县	3
2912	和平区	3
2913	河西区	3
2914	南开区	3
2915	河北区	3
2916	河东区	3
2917	红桥区	3
2918	东丽区	3
2919	津南区	3
2920	西青区	3
2921	北辰区	3
2922	塘沽区	3
2923	汉沽区	3
2924	大港区	3
2925	武清区	3
2926	宝坻区	3
2927	经济开发区	3
2928	宁河县	3
2929	静海县	3
2930	蓟县	3
2931	城关区	3
2932	林周县	3
2933	当雄县	3
2934	尼木县	3
2935	曲水县	3
2936	堆龙德庆县	3
2937	达孜县	3
2938	墨竹工卡县	3
2939	噶尔县	3
2940	普兰县	3
2941	札达县	3
2942	日土县	3
2943	革吉县	3
2944	改则县	3
2945	措勤县	3
2946	昌都县	3
2947	江达县	3
2948	贡觉县	3
2949	类乌齐县	3
2950	丁青县	3
2951	察雅县	3
2952	八宿县	3
2953	左贡县	3
2954	芒康县	3
2955	洛隆县	3
2956	边坝县	3
2957	林芝县	3
2958	工布江达县	3
2959	米林县	3
2960	墨脱县	3
2961	波密县	3
2962	察隅县	3
2963	朗县	3
2964	那曲县	3
2965	嘉黎县	3
2966	比如县	3
2967	聂荣县	3
2968	安多县	3
2969	申扎县	3
2970	索县	3
2971	班戈县	3
2972	巴青县	3
2973	尼玛县	3
2974	日喀则市	3
2975	南木林县	3
2976	江孜县	3
2977	定日县	3
2978	萨迦县	3
2979	拉孜县	3
2980	昂仁县	3
2981	谢通门县	3
2982	白朗县	3
2983	仁布县	3
2984	康马县	3
2985	定结县	3
2986	仲巴县	3
2987	亚东县	3
2988	吉隆县	3
2989	聂拉木县	3
2990	萨嘎县	3
2991	岗巴县	3
2992	乃东县	3
2993	扎囊县	3
2994	贡嘎县	3
2995	桑日县	3
2996	琼结县	3
2997	曲松县	3
2998	措美县	3
2999	洛扎县	3
3000	加查县	3
3001	隆子县	3
3002	错那县	3
3003	浪卡子县	3
3004	天山区	3
3005	沙依巴克区	3
3006	新市区	3
3007	水磨沟区	3
3008	头屯河区	3
3009	达坂城区	3
3010	米东区	3
3011	乌鲁木齐县	3
3012	阿克苏市	3
3013	温宿县	3
3014	库车县	3
3015	沙雅县	3
3016	新和县	3
3017	拜城县	3
3018	乌什县	3
3019	阿瓦提县	3
3020	柯坪县	3
3021	阿拉尔市	3
3022	库尔勒市	3
3023	轮台县	3
3024	尉犁县	3
3025	若羌县	3
3026	且末县	3
3027	焉耆	3
3028	和静县	3
3029	和硕县	3
3030	博湖县	3
3031	博乐市	3
3032	精河县	3
3033	温泉县	3
3034	呼图壁县	3
3035	米泉市	3
3036	昌吉市	3
3037	阜康市	3
3038	玛纳斯县	3
3039	奇台县	3
3040	吉木萨尔县	3
3041	木垒	3
3042	哈密市	3
3043	伊吾县	3
3044	巴里坤	3
3045	和田市	3
3046	和田县	3
3047	墨玉县	3
3048	皮山县	3
3049	洛浦县	3
3050	策勒县	3
3051	于田县	3
3052	民丰县	3
3053	喀什市	3
3054	疏附县	3
3055	疏勒县	3
3056	英吉沙县	3
3057	泽普县	3
3058	莎车县	3
3059	叶城县	3
3060	麦盖提县	3
3061	岳普湖县	3
3062	伽师县	3
3063	巴楚县	3
3064	塔什库尔干	3
3065	克拉玛依市	3
3066	阿图什市	3
3067	阿克陶县	3
3068	阿合奇县	3
3069	乌恰县	3
3070	石河子市	3
3071	图木舒克市	3
3072	吐鲁番市	3
3073	鄯善县	3
1	中国	0
2	北京	1
3	安徽	1
4	福建	1
5	甘肃	1
6	广东	1
7	广西	1
8	贵州	1
9	海南	1
10	河北	1
11	河南	1
12	黑龙江	1
13	湖北	1
14	湖南	1
15	吉林	1
16	江苏	1
17	江西	1
18	辽宁	1
19	内蒙古	1
20	宁夏	1
21	青海	1
22	山东	1
23	山西	1
24	陕西	1
25	上海	1
26	四川	1
27	天津	1
28	西藏	1
29	新疆	1
30	云南	1
31	浙江	1
32	重庆	1
33	香港	1
34	澳门	1
35	台湾	1
36	安庆	2
37	蚌埠	2
38	巢湖	2
39	池州	2
40	滁州	2
41	阜阳	2
42	淮北	2
43	淮南	2
44	黄山	2
45	六安	2
46	马鞍山	2
47	宿州	2
48	铜陵	2
49	芜湖	2
50	宣城	2
51	亳州	2
52	北京	2
53	福州	2
54	龙岩	2
55	南平	2
56	宁德	2
57	莆田	2
58	泉州	2
59	三明	2
60	厦门	2
61	漳州	2
62	兰州	2
63	白银	2
64	定西	2
65	甘南	2
66	嘉峪关	2
67	金昌	2
68	酒泉	2
69	临夏	2
70	陇南	2
71	平凉	2
72	庆阳	2
73	天水	2
74	武威	2
75	张掖	2
76	广州	2
77	深圳	2
78	潮州	2
79	东莞	2
80	佛山	2
81	河源	2
82	惠州	2
83	江门	2
84	揭阳	2
85	茂名	2
86	梅州	2
87	清远	2
88	汕头	2
89	汕尾	2
90	韶关	2
91	阳江	2
92	云浮	2
93	湛江	2
94	肇庆	2
95	中山	2
96	珠海	2
97	南宁	2
98	桂林	2
99	百色	2
100	北海	2
101	崇左	2
102	防城港	2
103	贵港	2
104	河池	2
105	贺州	2
106	来宾	2
107	柳州	2
108	钦州	2
109	梧州	2
110	玉林	2
111	贵阳	2
112	安顺	2
113	毕节	2
114	六盘水	2
115	黔东南	2
116	黔南	2
117	黔西南	2
118	铜仁	2
119	遵义	2
120	海口	2
121	三亚	2
122	白沙	2
123	保亭	2
124	昌江	2
125	澄迈县	2
126	定安县	2
127	东方	2
128	乐东	2
129	临高县	2
130	陵水	2
131	琼海	2
132	琼中	2
133	屯昌县	2
134	万宁	2
135	文昌	2
136	五指山	2
137	儋州	2
138	石家庄	2
139	保定	2
140	沧州	2
141	承德	2
142	邯郸	2
143	衡水	2
144	廊坊	2
145	秦皇岛	2
146	唐山	2
147	邢台	2
148	张家口	2
149	郑州	2
150	洛阳	2
151	开封	2
152	安阳	2
153	鹤壁	2
154	济源	2
155	焦作	2
156	南阳	2
157	平顶山	2
158	三门峡	2
159	商丘	2
160	新乡	2
161	信阳	2
162	许昌	2
163	周口	2
164	驻马店	2
165	漯河	2
166	濮阳	2
167	哈尔滨	2
168	大庆	2
169	大兴安岭	2
170	鹤岗	2
171	黑河	2
172	鸡西	2
173	佳木斯	2
174	牡丹江	2
175	七台河	2
176	齐齐哈尔	2
177	双鸭山	2
178	绥化	2
179	伊春	2
180	武汉	2
181	仙桃	2
182	鄂州	2
183	黄冈	2
184	黄石	2
185	荆门	2
186	荆州	2
187	潜江	2
188	神农架林区	2
189	十堰	2
190	随州	2
191	天门	2
192	咸宁	2
193	襄樊	2
194	孝感	2
195	宜昌	2
196	恩施	2
197	长沙	2
198	张家界	2
199	常德	2
200	郴州	2
201	衡阳	2
202	怀化	2
203	娄底	2
204	邵阳	2
205	湘潭	2
206	湘西	2
207	益阳	2
208	永州	2
209	岳阳	2
210	株洲	2
211	长春	2
212	吉林	2
213	白城	2
214	白山	2
215	辽源	2
216	四平	2
217	松原	2
218	通化	2
219	延边	2
220	南京	2
221	苏州	2
222	无锡	2
223	常州	2
224	淮安	2
225	连云港	2
226	南通	2
227	宿迁	2
228	泰州	2
229	徐州	2
230	盐城	2
231	扬州	2
232	镇江	2
233	南昌	2
234	抚州	2
235	赣州	2
236	吉安	2
237	景德镇	2
238	九江	2
239	萍乡	2
240	上饶	2
241	新余	2
242	宜春	2
243	鹰潭	2
244	沈阳	2
245	大连	2
246	鞍山	2
247	本溪	2
248	朝阳	2
249	丹东	2
250	抚顺	2
251	阜新	2
252	葫芦岛	2
253	锦州	2
254	辽阳	2
255	盘锦	2
256	铁岭	2
257	营口	2
258	呼和浩特	2
259	阿拉善盟	2
260	巴彦淖尔盟	2
261	包头	2
262	赤峰	2
263	鄂尔多斯	2
264	呼伦贝尔	2
265	通辽	2
266	乌海	2
267	乌兰察布市	2
268	锡林郭勒盟	2
269	兴安盟	2
270	银川	2
271	固原	2
272	石嘴山	2
273	吴忠	2
274	中卫	2
275	西宁	2
276	果洛	2
277	海北	2
278	海东	2
279	海南	2
280	海西	2
281	黄南	2
282	玉树	2
283	济南	2
284	青岛	2
285	滨州	2
286	德州	2
287	东营	2
288	菏泽	2
289	济宁	2
290	莱芜	2
291	聊城	2
292	临沂	2
293	日照	2
294	泰安	2
295	威海	2
296	潍坊	2
297	烟台	2
298	枣庄	2
299	淄博	2
300	太原	2
301	长治	2
302	大同	2
303	晋城	2
304	晋中	2
305	临汾	2
306	吕梁	2
307	朔州	2
308	忻州	2
309	阳泉	2
310	运城	2
311	西安	2
312	安康	2
313	宝鸡	2
314	汉中	2
315	商洛	2
316	铜川	2
317	渭南	2
318	咸阳	2
319	延安	2
320	榆林	2
321	上海	2
322	成都	2
323	绵阳	2
324	阿坝	2
325	巴中	2
326	达州	2
327	德阳	2
328	甘孜	2
329	广安	2
330	广元	2
331	乐山	2
332	凉山	2
333	眉山	2
334	南充	2
335	内江	2
336	攀枝花	2
337	遂宁	2
338	雅安	2
339	宜宾	2
340	资阳	2
341	自贡	2
342	泸州	2
